Gene_ID Gene_name numAparitions
514 sac3Δ 50
515 rna1-1 30
516 nab3-11 36
517 chs6Δ 20
518 gem1Δ 16
519 blm10Δ 9
520 sap190Δ 26
521 dpm1-6 30
522 dit1Δ 9
523 fit2Δ 8
524 pmr1Δ 49
525 srv2-2 60
526 mdm10Δ 46
527 ric1Δ 87
528 nip100Δ 34
529 ynr066cΔ 5
530 BET3-ph 66
531 taf12-L446A 60
532 thr4Δ 53
533 BRR6-PH 22
534 lsm7Δ 49
535 sdc1Δ 106
536 aim4Δ 34
537 sgf29Δ 16
538 chl4Δ 63
539 TRS23-PH 69
540 pef1Δ 14
541 sfl1Δ 31
542 pep8Δ 96
543 rps14aΔ 10
544 elp2Δ 34
545 rps21aΔ 10
546 ctf18Δ 44
547 rpo31-698 20
548 yar1Δ 30
549 ctf4Δ 28
550 cdc35-1 36
551 shr5Δ 21
552 vps29Δ 89
553 CFT2-1 30
554 ula1Δ 25
555 yjr084wΔ 20
556 pom34Δ 84
557 rpl13aΔ 8
558 DBP9-PH 11
559 TAD3-PH 43
560 cdc73Δ 39
561 lat1Δ 11
562 NUF2-PH 18
563 bem4Δ 40
564 aim41Δ 13
565 irc25Δ 100
566 snt1Δ 48
567 swr1Δ 34
568 vps72Δ 38
569 mge1-100 13
570 srn2Δ 308
571 dph2Δ 35
572 dph5Δ 36
573 FCF1-PH 30
574 new1Δ 33
575 YDR081C-PH 34
576 swf1Δ 32
577 hta1Δ 16
578 dbf2Δ 36
579 apq12Δ 44
580 NOC3-PH 15
581 nup2Δ 16
582 msc1Δ 37
583 irc15Δ 13
584 rsp5-sm1 30
585 YDR404C-PH 34
586 clb5Δ 9
587 hos2Δ 11
588 ina17Δ 13
589 tda1Δ 29
590 prp4-ts 24
591 hch1Δ 23
592 ypr098cΔ 17
593 stb5Δ 56
594 dam1-19 42
595 dse3Δ 21
596 ypl260wΔ 16
597 ORC1-PH 28
598 fum1Δ 27
599 oxr1Δ 14
600 syt1Δ 18
601 eaf3Δ 90
602 rco1Δ 56
603 ski3Δ 46
604 ski8Δ 44
605 vam3Δ 35
606 MAK16-ph 29
607 brn1-9 29
608 hoΔ 14417
609 YBR004C-PH 14
610 csm1Δ 21
611 SNU23-ph 21
612 swi5Δ 21
613 nup145-R4 31
614 okp1-5 222
615 YHR122W-PH 15
616 mlp2Δ 4
617 asf1Δ 30
618 nup100Δ 4
619 ykl069wΔ 36
620 mlp1Δ 5
621 pml39Δ 95
622 esc1Δ 2
623 wtm1Δ 1
624 kin28-ts 24
625 ppn1Δ 30
626 ies1Δ 16
627 pib2Δ 13
628 rpl24aΔ 6
629 sec15-1 12
630 rpn1-821 24
631 urm1Δ 13
632 YJL011C-PH 25
633 snx4Δ 14
634 exo70-29/37 31
635 kti12Δ 19
636 lst4Δ 23
637 doa1Δ 23
638 mms22Δ 27
639 fks1Δ 20
640 tap42-11 147
641 pds5-1 27
642 mre11Δ 25
643 nst1Δ 23
644 rts1Δ 27
645 lip5Δ 37
646 snc2Δ 9
647 lge1Δ 24
648 elp4Δ 21
649 TBF1-PH 28
650 met16Δ 10
651 pds1-128 17
652 yel1Δ 10
653 emp47Δ 2
654 mms2Δ 7
655 prx1Δ 4
656 cka2Δ 9
657 rkm3Δ 5
658 pet122Δ 41
659 sse1Δ 49
660 tcm62Δ 15
661 tps2Δ 19
662 hom2Δ 18
663 hom3Δ 28
664 lrp1Δ 19
665 sdh2Δ 7
666 idh1Δ 7
667 bud31Δ 62
668 nut1Δ 18
669 ncs6Δ 15
670 mup1Δ 7
671 azr1Δ 9
672 aim22Δ 16
673 rav1Δ 24
674 tma19Δ 8
675 meh1Δ 21
676 ict1Δ 8
677 ace2Δ 9
678 sas2Δ 6
679 OST2-PH 28
680 dbp3Δ 10
681 GPI10-PH 33
682 oar1Δ 28
683 adh2Δ 3
684 nrm1Δ 4
685 rrd2Δ 20
686 rpl43aΔ 26
687 YPR085C-PH 12
688 ypr153wΔ 3
689 rad57Δ 12
690 rad55Δ 11
691 scc2-4 30
692 ivy1Δ 4
693 apa2Δ 4
694 rad51Δ 9
695 rad54Δ 11
696 rfc2-1 13
697 pet8Δ 15
698 bud13Δ 13
699 ist3Δ 13
700 hub1Δ 5
701 snu66Δ 16
702 nut2-ts 20
703 cos111Δ 7
704 emi1Δ 18
705 atp20Δ 24
706 ert1Δ 9
707 DCP2-7D 26
708 nkp1Δ 4
709 mcx1Δ 8
710 ydr186cΔ 9
711 spt3Δ 24
712 ssc1-2 12
713 pex30Δ 7
714 erg5Δ 16
715 rps16aΔ 15
716 ase1Δ 8
717 fus1Δ 8
718 jnm1Δ 15
719 atg15Δ 5
720 pam16-3 24
721 orc3-70 12
722 rps30aΔ 28
723 rev3Δ 4
724 dyn3Δ 29
725 hpc2Δ 11
726 rif1Δ 4
727 rad9Δ 4
728 swm1Δ 6
729 rad24Δ 6
730 cak1-23 20
731 pan2Δ 7
732 ctf8Δ 26
733 cpr7Δ 25
734 ssa2Δ 6
735 vac14Δ 23
736 bul2Δ 6
737 slk19Δ 85
738 ctf19Δ 22
739 sec17-1 20
740 cdc27-2 20
741 mnn2Δ 16
742 iml3Δ 13
743 she9Δ 7
744 clg1Δ 16
745 sbp1Δ 8
746 fsh1Δ 2
747 pgm1Δ 5
748 cbt1Δ 3
749 yct1Δ 4
750 cki1Δ 2
751 zrc1Δ 13
752 got1Δ 14
753 lcb1-2 17
754 sfb2Δ 4
755 mdy2Δ 194
756 mrs6-2 15
757 poc4Δ 6
758 NBP35-PH 22
759 oaf1Δ 2
760 bud14Δ 27
761 sea4Δ 6
762 nup42Δ 4
763 rpt3-1 7
764 pex29Δ 2
765 grh1Δ 4
766 mam1Δ 20
767 pda1Δ 18
768 otu1Δ 1
769 swp82Δ 3
770 pex31Δ 5
771 upf3Δ 15
772 pex4Δ 11
773 caf130Δ 2
774 uba4Δ 8
775 gsh1Δ 11
776 lia1Δ 4
777 cap1Δ 6
778 tef4Δ 15
779 pxl1Δ 5
780 bas1Δ 9
781 gsf2Δ 4
782 atp18Δ 24
783 far3Δ 7
784 TIM23-PH 13
785 rcf2Δ 6
786 coq2Δ 6
787 glo4Δ 6
788 vts1Δ 9
789 mgr2Δ 13
790 cti6Δ 8
791 ypr003cΔ 5
792 csr2Δ 9
793 hda3Δ 31
794 rpl23aΔ 3
795 tsc3-2 13
796 vps60Δ 13
797 opi1Δ 30
798 RPF1-ph 6
799 rho3-1 9
800 gcn3Δ 19
801 stu2-11 16
802 ccw12Δ 14
803 chs5Δ 13
804 tub3Δ 16
805 mot3Δ 83
806 cin4Δ 5
807 hht2Δ 3
808 rpl9bΔ 9
809 med7-141 21
810 sas5Δ 3
811 arl3Δ 23
812 rtc6Δ 23
813 uga3Δ 14
814 mrpl1Δ 10
815 flc2Δ 12
816 sft2Δ 8
817 cwh43Δ 7
818 pal1Δ 3
819 skn7Δ 17
820 age2Δ 7
821 las21Δ 17
822 bud6Δ 5
823 rnt1-47 17
824 nop6Δ 41
825 YDR449C-PH 9
826 rps18bΔ 9
827 rrp5-delta6 8
828 rps10bΔ 4
829 nup53Δ 10
830 aim14Δ 6
831 axl2Δ 9
832 ssl1-T242I 29
833 tgs1Δ 34
834 aim44Δ 21
835 urn1Δ 3
836 rnh201Δ 11
837 ubx3Δ 33
838 bug1Δ 138
839 sdh4Δ 4
840 rdi1Δ 3
841 ybl059wΔ 11
842 spe2Δ 10
843 ptp1Δ 18
844 ndt80Δ 1
845 pex22Δ 8
846 avt5Δ 11
847 lsb3Δ 4
848 mon1Δ 21
849 imp2'Δ 14
850 yjr011cΔ 14
851 pan3Δ 11
852 tcd2Δ 10
853 imh1Δ 4
854 bub2Δ 73
855 pkr1Δ 27
856 ymr166cΔ 3
857 sgt2Δ 17
858 pus1Δ 12
859 csn9Δ 5
860 tsc11-1 13
861 cbf2-42 18
862 dsn1-7 16
863 hhf2Δ 3
864 rnh202Δ 44
865 bud3Δ 6
866 mum2Δ 8
867 slx1Δ 3
868 rnh203Δ 7
869 oca1Δ 3
870 lcb4Δ 6
871 hos4Δ 7
872 abp1Δ 17
873 tef2Δ 9
874 rrt2Δ 4
875 apm3Δ 10
876 ctp1Δ 3
877 RPC11-ph 16
878 paa1Δ 4
879 snf11Δ 5
880 aro1Δ 13
881 ipk1Δ 10
882 cym1Δ 4
883 apl6Δ 10
884 gga2Δ 9
885 hda1Δ 27
886 BRX1-PH 17
887 tir2Δ 6
888 apl5Δ 12
889 mms1Δ 7
890 msh4Δ 12
891 set3Δ 16
892 nkp2Δ 9
893 caf16Δ 9
894 mdr1Δ 2
895 pin4Δ 13
896 mxr2Δ 8
897 dyn2Δ 13
898 ctf3Δ 10
899 dse4Δ 6
900 msa1Δ 8
901 cin1Δ 11
902 ypl071cΔ 7
903 mcm16Δ 12
904 clb2Δ 14
905 yip5Δ 25
906 rps4bΔ 9
907 nuc1Δ 4
908 sdo1-VMA1-ts 3
909 rpl37aΔ 10
910 elp6Δ 16
911 snf6Δ 12
912 ect1Δ 23
913 tim13Δ 5
914 YDR236C-PH 18
915 aro2Δ 11
916 slx9Δ 23
917 ash1Δ 3
918 rps0bΔ 11
919 rps28bΔ 5
920 itr1Δ 6
921 ent3Δ 116
922 ykr011cΔ 7
923 rex2Δ 18
924 sec8-9 8
925 frq1-1 17
926 stp1Δ 9
927 rps11bΔ 10
928 rps16bΔ 23
929 maf1Δ 7
930 rpa14Δ 12
931 puf6Δ 14
932 ubp9Δ 5
933 rps26bΔ 6
934 gup1Δ 21
935 rpl17bΔ 6
936 uth1Δ 9
937 rps1aΔ 5
938 taf8-7 10
939 irc21Δ 6
940 prp24-ts 4
941 yck2Δ 4
942 sae3Δ 3
943 sam35-2 7
944 bzz1Δ 13
945 bmh2Δ 2
946 aro9Δ 9
947 tel1Δ 3
948 cdc7-1 17
949 osw5Δ 3
950 agp1Δ 2
951 rpp2bΔ 4
952 cdc26-1 7
953 mad3Δ 7
954 apc2-8 4
955 rps22bΔ 3
956 fkh2Δ 5
957 ncs2Δ 8
958 gbp2Δ 4
959 skt5Δ 5
960 rxt3Δ 12
961 rps25aΔ 5
962 thi4Δ 2
963 HAS1-PH 8
964 pnt1Δ 15
965 opy2Δ 22
966 rad61Δ 6
967 kip3Δ 10
968 pac11Δ 6
969 dyn1Δ 16
970 xbp1Δ 5
971 yil161wΔ 9
972 she1Δ 9
973 ntc20Δ 2
974 snq2Δ 1
975 dpb4Δ 7
976 eft2Δ 5
977 rps23aΔ 2
978 pih1Δ 5
979 lin1Δ 44
980 rpl6bΔ 8
981 rps28aΔ 6
982 dnm1Δ 6
983 hst2Δ 1
984 sop4Δ 5
985 cwc21Δ 5
986 mis1Δ 3
987 asm4Δ 5
988 pho2Δ 1
989 trm1Δ 9
990 vhs1Δ 2
991 psp1Δ 7
992 yck3Δ 4
993 ioc3Δ 2
994 cue3Δ 2
995 pbp1Δ 8
996 rps0aΔ 2
997 gut1Δ 4
998 kel1Δ 8
999 fyv10Δ 10
1000 bud2Δ 5
1001 elf1Δ 7
1002 ysr3Δ 5
1003 hbs1Δ 8
1004 myo5Δ 5
1005 nma111Δ 4
1006 rfm1Δ 5
1007 hsp150Δ 4
1008 sso1Δ 3
1009 gpg1Δ 5
1010 rev7Δ 1
1011 nam8Δ 1
1012 cus1-3 4
1013 ycr050cΔ 4
1014 msc2Δ 6
1015 vtc4Δ 2
1016 ylr173wΔ 3
1017 zds1Δ 10
1018 rpl21bΔ 3
1019 ygr126wΔ 2
1020 yra2Δ 9
1021 nap1Δ 97
1022 ppm1Δ 7
1023 csi2Δ 2
1024 rga1Δ 7
1025 tye7Δ 6
1026 utp30Δ 15
1027 ncl1Δ 5
1028 ybp1Δ 2
1029 xrs2Δ 5
1030 mdv1Δ 2
1031 tma22Δ 6
1032 bfa1Δ 94
1033 rpl43bΔ 4
1034 tif1Δ 8
1035 ndl1Δ 5
1036 dis3-1 5
1037 nfi1Δ 3
1038 sfg1Δ 3
1039 kar9Δ 7
1040 ubx7Δ 1
1041 pba1Δ 10
1042 qri7Δ 4
1043 bud4Δ 4
1044 bul1Δ 4
1045 rpl38Δ 29
1046 tea1Δ 1
1047 ptc4Δ 5
1048 ost1-6 17
1049 pep4Δ 5
1050 ubp15Δ 11
1051 tos1Δ 2
1052 pca1Δ 1
1053 yhc3Δ 7
1054 swe1Δ 13
1055 oye3Δ 1
1056 hpt1Δ 3
1057 fcy2Δ 3
1058 mss1Δ 10
1059 hfa1Δ 4
1060 nas2Δ 2
1061 SPC24-9 129
1062 vba3Δ 1
1063 ddp1Δ 2
1064 yim1Δ 9
1065 ymr160wΔ 12
1066 bch2Δ 6
1067 hot1Δ 1
1068 ddr48Δ 2
1069 pai3Δ 6
1070 pet127Δ 42
1071 abz2Δ 4
1072 acs1Δ 6
1073 mtc4Δ 4
1074 ent5Δ 8
1075 aps3Δ 8
1076 mnl2Δ 3
1077 dgk1Δ 5
1078 vac17Δ 9
1079 spo12Δ 2
1080 ayr1Δ 3
1081 hyr1Δ 3
1082 nis1Δ 50
1083 pho3Δ 1
1084 hnm1Δ 1
1085 fun30Δ 7
1086 tec1Δ 2
1087 thi3Δ 2
1088 ptk2Δ 9
1089 spa2Δ 8
1090 tos4Δ 3
1091 mcp1Δ 4
1092 rgl1Δ 8
1093 hir1Δ 12
1094 msi1Δ 6
1095 tel2-15 2
1096 YJR064W-PH 11
1097 sdh1Δ 3
1098 zrt3Δ 3
1099 dph6Δ 5
1100 ymr074cΔ 4
1101 rbl2Δ 11
1102 trp1Δ 2
1103 oaz1Δ 4
1104 rim21Δ 160
1105 mrpl50Δ 7
1106 sil1Δ 7
1107 pmt1Δ 7
1108 ost5Δ 2
1109 mtr4-1 5
1110 yap1Δ 3
1111 sfm1Δ 8
1112 tul1Δ 3
1113 hms1Δ 6
1114 cac2Δ 7
1115 rlf2Δ 8
1116 sak1Δ 2
1117 ubp13Δ 2
1118 dot1Δ 3
1119 gnp1Δ 5
1120 bbc1Δ 3
1121 inp1Δ 1
1122 lsc1Δ 16
1123 ubx5Δ 2
1124 mnn11Δ 5
1125 get4Δ 115
1126 rkr1Δ 2
1127 hsp26Δ 7
1128 swt1Δ 14
1129 smy1Δ 2
1130 rma1Δ 5
1131 boi1Δ 3
1132 msp1Δ 2
1133 tcd1Δ 4
1134 RSC58-PH 2
1135 gal7Δ 2
1136 chs3Δ 8
1137 cst26Δ 2
1138 ysa1Δ 2
1139 ecm31Δ 1
1140 abd1-8 1
1141 aua1Δ 2
1142 ysc83Δ 2
1143 vth1Δ 1
1144 yur1Δ 8
1145 fra1Δ 6
1146 bil1Δ 12
1147 tan1Δ 3
1148 prk1Δ 2
1149 sps4Δ 15
1150 hul5Δ 2
1151 lee1Δ 2
1152 art5Δ 1
1153 dap1Δ 7
1154 ypr078cΔ 20
1155 ubc13Δ 4
1156 pmt7Δ 2
1157 mri1Δ 7
1158 ant1Δ 3
1159 scd6Δ 46
1160 nca2Δ 7
1161 esa1-L254P 13
1162 hpa2Δ 28
1163 arr1Δ 4
1164 ypt32Δ 1
1165 RPB8-PH 1
1166 ysy6Δ 4
1167 vps73Δ 1
1168 dnf3Δ 1
1169 kes1Δ 4
1170 ydr169c-aΔ 11
1171 ydr210wΔ 10
1172 adr1Δ 14
1173 dpl1Δ 14
1174 ksp1Δ 35
1175 yip3Δ 3
1176 oms1Δ 19
1177 sdh6Δ 10
1178 oca2Δ 7
1179 isw2Δ 2
1180 rex4Δ 2
1181 smc1-259 145
1182 cda2Δ 1
1183 rub1Δ 1
1184 bst1Δ 118
1185 tmn2Δ 3
1186 scw4Δ 5
1187 kha1Δ 1
1188 put1Δ 1
1189 ret2-1 238
1190 spc105-15 127
1191 trp4Δ 2
1192 irc5Δ 4
1193 snt2Δ 5
1194 sec27-1 211
1195 scw10Δ 1
1196 pfa4Δ 4
1197 ypq1Δ 1
1198 ppq1Δ 5
1199 mei4Δ 1
1200 tor1Δ 4
1201 dpb3Δ 3
1202 pea2Δ 3
1203 rpl16aΔ 5
1204 ppg1Δ 7
1205 rtc2Δ 3
1206 nrg1Δ 2
1207 rec107Δ 2
